Grid scores on validation set:
0.961 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.480 (+/-0.276) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.138 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.963 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.614 (+/-0.161) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.591 (+/-0.403) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.959 (+/-0.007) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.616 (+/-0.126) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.570 (+/-0.147) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.967 (+/-0.007) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.663 (+/-0.032) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.580 (+/-0.209) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.961 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.588 (+/-0.163) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.582 (+/-0.172) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.952 (+/-0.059) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.637 (+/-0.097) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.353 (+/-0.593) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.952 (+/-0.070) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.658 (+/-0.323) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.464 (+/-0.469) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.019) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.469 (+/-0.500) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.546 (+/-0.546) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.863 (+/-0.240) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.640 (+/-0.126) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.613 (+/-0.133) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.969 (+/-0.010) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.654 (+/-0.028) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.509 (+/-0.225) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.962 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.618 (+/-0.107) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.598 (+/-0.157) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.953 (+/-0.034) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.517 (+/-0.497) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.610 (+/-0.158) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.962 (+/-0.024) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.484 (+/-0.490) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.620 (+/-0.133) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.1, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.952 (+/-0.023) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.622 (+/-0.172) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.956 (+/-0.014) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.468 (+/-0.575) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.963 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.638 (+/-0.116) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.955 (+/-0.023) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.556 (+/-0.140) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.642 (+/-0.201) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.844 (+/-0.281) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.534 (+/-0.192) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.648 (+/-0.178) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.896 (+/-0.156) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.560 (+/-0.096) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.019) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.619 (+/-0.146) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.956 (+/-0.018) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.662 (+/-0.122) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.656 (+/-0.144) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.948 (+/-0.040) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.609 (+/-0.158) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.676 (+/-0.066) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.953 (+/-0.021) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.591 (+/-0.188) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.622 (+/-0.178) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.903 (+/-0.221) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.593 (+/-0.134) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.631 (+/-0.144) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.949 (+/-0.028) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.569 (+/-0.128) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.666 (+/-0.105) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.959 (+/-0.005) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.600 (+/-0.163) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.416 (+/-0.677) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.009) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.485 (+/-0.226) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.960 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.549 (+/-0.205) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.933 (+/-0.148) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.590 (+/-0.179) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.575 (+/-0.128) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.016) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.617 (+/-0.211) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.446 (+/-0.450) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 1, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
